Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,7/30/2020 4:35,32.3182,-86.9023,83782,1538,32510,49734,1,1708.726063,668275,9893,1.835716502,84000001,USA,13629.40619,11.80802559
Alaska,US,7/30/2020 4:35,61.3707,-152.4044,2798,22,854,1922,2,382.4781797,223664,,0.786275911,84000002,USA,30574.19571,
American Samoa,US,7/30/2020 4:35,-14.271,-170.132,0,0,,0,60,0,1037,,,16,ASM,1863.733578,
Arizona,US,7/30/2020 4:35,33.7298,-111.4312,168273,3454,21994,142825,4,2311.849739,901429,10060,2.052616879,84000004,USA,12384.44907,5.97838037
Arkansas,US,7/30/2020 4:35,34.9697,-92.3731,40968,434,33938,6596,5,1357.543432,495605,2747,1.059363406,84000005,USA,16422.7034,6.705233353
California,US,7/30/2020 4:35,36.1162,-119.6816,484913,8908,,476005,6,1227.248085,7517466,,1.83703056,84000006,USA,19025.67213,
Colorado,US,7/30/2020 4:35,39.0598,-105.3111,45778,1822,5243,38713,8,794.9313877,512177,6319,3.980077767,84000008,USA,8893.913525,13.80357377
Connecticut,US,7/30/2020 4:35,41.5978,-72.7554,49540,4425,8516,36599,9,1389.509456,765776,10712,8.932176019,84000009,USA,21478.66357,21.62293096
Delaware,US,7/30/2020 4:35,39.3185,-75.5071,14602,581,8108,5913,10,1499.541983,177016,,3.978906999,84000010,USA,18178.53196,
Diamond Princess,US,7/30/2020 4:35,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,7/30/2020 4:35,38.8974,-77.0268,11999,584,9723,1692,11,1700.179526,180049,,4.867072256,84000011,USA,25511.76126,
Florida,US,7/30/2020 4:35,27.7663,-81.6868,451423,6333,,445090,12,2101.818269,3526765,25867,1.402897061,84000012,USA,16420.56144,5.730102365
