FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
45001,Abbeville,South Carolina,US,7/30/2020 4:35,34.22333378,-82.46170658,279,6,0,273,"Abbeville, South Carolina, US",1137.521915,2.150537634
22001,Acadia,Louisiana,US,7/30/2020 4:35,30.2950649,-92.41419698,2266,70,0,2196,"Acadia, Louisiana, US",3652.187928,3.089143866
51001,Accomack,Virginia,US,7/30/2020 4:35,37.76707161,-75.63234615,1072,15,0,1057,"Accomack, Virginia, US",3317.242233,1.399253731
16001,Ada,Idaho,US,7/30/2020 4:35,43.4526575,-116.2415516,7515,53,0,7462,"Ada, Idaho, US",1560.46571,0.705256154
19001,Adair,Iowa,US,7/30/2020 4:35,41.33075609,-94.47105874,20,0,0,20,"Adair, Iowa, US",279.6420582,0
21001,Adair,Kentucky,US,7/30/2020 4:35,37.10459774,-85.28129668,192,19,0,173,"Adair, Kentucky, US",999.8958442,9.895833333
29001,Adair,Missouri,US,7/30/2020 4:35,40.19058551,-92.60078167,128,0,0,128,"Adair, Missouri, US",505.0704337,0
40001,Adair,Oklahoma,US,7/30/2020 4:35,35.88494195,-94.65859267,268,5,0,263,"Adair, Oklahoma, US",1207.533568,1.865671642
8001,Adams,Colorado,US,7/30/2020 4:35,39.87432092,-104.3362578,5794,168,0,5626,"Adams, Colorado, US",1119.78447,2.89955126
16003,Adams,Idaho,US,7/30/2020 4:35,44.89333571,-116.4545247,18,0,0,18,"Adams, Idaho, US",419.1895668,0
17001,Adams,Illinois,US,7/30/2020 4:35,39.98815591,-91.18786813,351,1,0,350,"Adams, Illinois, US",536.410178,0.284900285
18001,Adams,Indiana,US,7/30/2020 4:35,40.7457653,-84.93671406,73,1,0,72,"Adams, Indiana, US",204.0417028,1.369863014
19003,Adams,Iowa,US,7/30/2020 4:35,41.02903567,-94.69932645,15,0,0,15,"Adams, Iowa, US",416.4353137,0
28001,Adams,Mississippi,US,7/30/2020 4:35,31.47669768,-91.35326037,539,23,0,516,"Adams, Mississippi, US",1756.10074,4.26716141
31001,Adams,Nebraska,US,7/30/2020 4:35,40.5244942,-98.50117804,331,11,0,320,"Adams, Nebraska, US",1055.383732,3.32326284
38001,Adams,North Dakota,US,7/30/2020 4:35,46.09686891,-102.5285397,2,0,0,2,"Adams, North Dakota, US",90.25270758,0
39001,Adams,Ohio,US,7/30/2020 4:35,38.84541072,-83.4718964,51,2,0,49,"Adams, Ohio, US",184.128818,3.921568627
42001,Adams,Pennsylvania,US,7/30/2020 4:35,39.87140411,-77.21610347,454,18,0,436,"Adams, Pennsylvania, US",440.7381879,3.964757709
53001,Adams,Washington,US,7/30/2020 4:35,46.98299757,-118.5601734,371,2,0,369,"Adams, Washington, US",1856.578091,0.539083558
55001,Adams,Wisconsin,US,7/30/2020 4:35,43.96974651,-89.76782777,65,2,0,63,"Adams, Wisconsin, US",321.4638971,3.076923077
50001,Addison,Vermont,US,7/30/2020 4:35,44.03217337,-73.14130877,71,2,0,69,"Addison, Vermont, US",193.0554423,2.816901408
72001,Adjuntas,Puerto Rico,US,7/30/2020 4:35,18.180117,-66.754367,77,0,0,77,"Adjuntas, Puerto Rico, US",395.2163425,0
72003,Aguada,Puerto Rico,US,7/30/2020 4:35,18.360255,-67.175131,96,0,0,96,"Aguada, Puerto Rico, US",228.7947759,0
72005,Aguadilla,Puerto Rico,US,7/30/2020 4:35,18.459681,-67.120815,160,0,0,160,"Aguadilla, Puerto Rico, US",262.5145614,0
72007,Aguas Buenas,Puerto Rico,US,7/30/2020 4:35,18.251619,-66.126806,99,0,0,99,"Aguas Buenas, Puerto Rico, US",345.4412227,0
72009,Aibonito,Puerto Rico,US,7/30/2020 4:35,18.131361,-66.264131,71,0,0,71,"Aibonito, Puerto Rico, US",274.1312741,0
45003,Aiken,South Carolina,US,7/30/2020 4:35,33.54338026,-81.63645384,1403,24,0,1379,"Aiken, South Carolina, US",821.0824477,1.7106201
27001,Aitkin,Minnesota,US,7/30/2020 4:35,46.60962049,-93.4116826,25,0,0,25,"Aitkin, Minnesota, US",157.3712703,0
12001,Alachua,Florida,US,7/30/2020 4:35,29.67866525,-82.35928158,3353,20,0,3333,"Alachua, Florida, US",1246.269184,0.596480763
37001,Alamance,North Carolina,US,7/30/2020 4:35,36.0434701,-79.39976137,2066,41,0,2025,"Alamance, North Carolina, US",1218.81434,1.984511133
